price_segment,samples,mean_actual_price,mean_predicted_price,mean_residual,mean_absolute_error,mean_absolute_percentage_error
"(81999.981, 299999.912]",446,238700.7525879574,256470.71036407244,-17769.95777611505,40871.90807554935,18.94264433202302
"(299999.912, 398099.99]",424,347046.7308694554,356130.5363992977,-9083.805529842357,41545.8574412832,12.019320140035909
"(398099.99, 519999.893]",439,451879.14826999494,459820.933672138,-7941.785402143166,54087.73963058109,12.0505553893869
"(519999.893, 700000.327]",440,604799.3132126452,587484.1891711883,17315.124041456864,81906.7863961754,13.553953354294475
"(700000.327, 8611111.114]",425,1135219.827884438,1012304.97594137,122914.85194306793,230981.1500297747,16.452259118313545
