segment,threshold,samples,sample_ratio,mean_actual_price,mean_predicted_price,mean_residual,underprediction_rate,median_absolute_error,max_absolute_error,mean_absolute_percentage_error,MAE,MSE,RMSE,R2
actual_price >= p90,872784.9562040272,218,0.10027598896044158,1480015.6855418284,1263516.270061458,216499.41548037046,0.7064220183486238,164349.43641390052,7690713.561370971,18.633727382636884,346346.4959946166,762909262414.1909,873446.7713685768,0.17427167570188717
actual_price >= p95,1200000.3646346515,110,0.050597976080956765,1975289.062540689,1567456.7957025953,407832.26683809387,0.7454545454545455,248883.33445781464,7690713.561370971,20.815171061601394,527480.0930306559,1442865020081.9177,1201193.1651828184,-0.0850645682000859
"actual_price >= 1,000,000",1000000.0,142,0.06531738730450783,1773146.3852494862,1463244.2501399147,309902.1351095715,0.7183098591549296,218166.12906037644,7690713.561370971,21.13271782595256,462118.73613098235,1156265918521.496,1075298.0603169969,0.012752232902386584
"actual_price >= 2,000,000",2000000.0,28,0.012879484820607176,3349864.9702864825,2117606.2567047034,1232258.7135817786,0.8928571428571429,562152.5504325188,7690713.561370971,31.637571018853198,1312721.2804225911,5283088521112.114,2298497.013509505,-1.0730376526125767
