model,MAE,MSE,RMSE,R2,training_time_seconds,inference_time_seconds,inference_time_mean_seconds,inference_time_std_seconds,inference_time_repeats,target_scale
Linear Regression,88354.38250451534,81183820703.82124,284927.74646183767,0.6244528215178926,0.019228207995183766,5.8494558713088435e-05,5.8494558713088435e-05,2.4338590505026326e-05,30,original price scale after inverse transform
Decision Tree Regression,114719.48236121777,109108095982.86922,330315.14646299405,0.49527828031881693,0.24419500003568828,0.00025200146483257414,0.00025200146483257414,0.00017528935611280737,30,original price scale after inverse transform
Random Forest Regression,83181.33748860881,82396680594.50471,287048.21998142527,0.618842268751449,2.555171124986373,0.013283306833667059,0.013283306833667059,0.0005684395689341164,30,original price scale after inverse transform
MLP Regression PyTorch,89142.04555271188,83836624015.04959,289545.5473928922,0.6121812320984037,8.458318917779252,0.006486416631378234,0.006486416631378234,0.006887052918676161,30,original price scale after expm1 inverse transform
