model,MAE,MSE,RMSE,R2,training_time_seconds,inference_time_seconds,target_scale
Linear Regression,89213.43280691079,81671669837.73526,285782.55691650475,0.622541110312723,0.030859957914799452,0.0004781669704243541,original price scale after inverse transform
Decision Tree Regression,115178.29353875488,107567190499.33829,327974.37476019113,0.5028607548574895,0.15876849996857345,0.0004534160252660513,original price scale after inverse transform
Random Forest Regression,84689.2226138964,85224521002.96051,291932.3911506918,0.606121031493293,2.793550750007853,0.02574479195754975,original price scale after inverse transform
