epoch,train_loss,validation_loss,train_mae,train_mse,train_rmse,train_r2,validation_mae,validation_mse,validation_rmse,validation_r2,learning_rate,l1_lambda,loss_function,huber_delta,gradient_clip_norm,gradient_norm,epoch_time_seconds,device,stopped_early
65,0.039529827347788205,0.10479261405499918,0.1291932910680771,0.03854924812912941,0.1963396244499042,0.8677897586956996,0.16252008080482483,0.10759081691503525,0.32801039147416544,0.633508305787252,0.0005,1e-06,mse,1.0,5.0,0.847019125944574,0.1066609580302611,cpu,False
66,0.039039704721847146,0.11788883400149644,0.12862195074558258,0.038067739456892014,0.19510955757443563,0.869441177502693,0.1571754813194275,0.12103771418333054,0.3479047487220181,0.5877034960793327,0.0005,1e-06,mse,1.0,5.0,0.8093530244273013,0.10736429097596556,cpu,False
67,0.038619569128179904,0.0832393276172557,0.12826229631900787,0.037523236125707626,0.19370915343810582,0.8713086310646171,0.151529461145401,0.08547307550907135,0.2923577868110773,0.7088490156845766,0.0005,1e-06,mse,1.0,5.0,0.7848613707561775,0.10640954202972353,cpu,False
68,0.03799980068476218,0.07733552357448,0.12770067155361176,0.037010595202445984,0.1923813795626957,0.8730668224486986,0.152753084897995,0.07940497994422913,0.2817888925139334,0.7295190435135893,0.0005,1e-06,mse,1.0,5.0,0.7315684870380317,0.10624254099093378,cpu,False
69,0.038597394076495595,0.07156051134890211,0.12845733761787415,0.03741030395030975,0.19341743445281698,0.8716959433090492,0.1537664830684662,0.07349343597888947,0.2710967280859167,0.7496558329343681,0.0005,1e-06,mse,1.0,5.0,0.7768114597924961,0.11356345808599144,cpu,False
70,0.038291441668443574,0.07219655537711722,0.12815944850444794,0.037302449345588684,0.19313842016954752,0.872065854778741,0.15094871819019318,0.07409121096134186,0.27219700762745697,0.7476195846438782,0.0005,1e-06,mse,1.0,5.0,0.7511990541021762,0.10790325002744794,cpu,False
71,0.03802290503829168,0.07233231116884521,0.12751327455043793,0.037037864327430725,0.1924522390813646,0.8729732687339176,0.15555112063884735,0.07428961992263794,0.27256122233846464,0.7469437440036012,0.0005,1e-06,mse,1.0,5.0,0.7620058982354688,0.10696100001223385,cpu,False
72,0.038546884600829154,0.07141176434233784,0.1285160332918167,0.03757563978433609,0.1938443700093869,0.8711289076460648,0.1509176343679428,0.07334372401237488,0.27082046453762476,0.7501658010235126,0.0005,1e-06,mse,1.0,5.0,0.8000621941916617,0.10686412500217557,cpu,False
73,0.039211675713725413,0.06435729880218527,0.12981005012989044,0.03814150020480156,0.1952984900218165,0.8691882016560317,0.14782264828681946,0.06610534340143204,0.2571095941450494,0.774822230021382,0.0005,1e-06,mse,1.0,5.0,0.8599799082947833,0.10684883303474635,cpu,False
74,0.038513771797843085,0.08813116228474038,0.12802447378635406,0.03751971200108528,0.19370005679164187,0.8713207273755148,0.1576007604598999,0.09040643274784088,0.3006766248776929,0.6920442689209629,0.0005,1e-06,mse,1.0,5.0,0.788193472197135,0.10681441694032401,cpu,False
75,0.037853040457514156,0.07724392406692329,0.12733270227909088,0.03686013072729111,0.19198992350457122,0.8735828398199716,0.1510475128889084,0.07935739308595657,0.28170444278703977,0.729681148943394,0.0005,1e-06,mse,1.0,5.0,0.7577805246374264,0.10665574995800853,cpu,True
